# This is a bar (= "|") separated ascii table having the following columns: 
#  1 SNAME: SINGG name
#  2 NEDNAME: NED name
#  3 NNEDMATCH: Number of NED position matches
#  4 SEPNED: Separation master to best NED match [arcsec]
#  5 OBJTYP: Object type from NED
#  6 MORPH: Morphology from NED
#  7 NREF: Number of references for best NED match
#  8 NREFTOT: Sum of all references to NED matched objects
#  9 HAFLAG: Halpha status flag [-1:1] (master)
# 10 UVFLAG: GALEX status flag [-1:3] (master)
# 11 RA: RA master db (J2000) [deg]
# 12 DEC: Dec master db (J2000) [deg]
# 13 LMHI: Log(M_HI [Msun])
# 14 VHEL: Heliocentric velocity (from HIPASS) [km/s]
# 15 MAGR: R-band apparent magnitude [ABmag] (SINGG)
# 16 MUER: R-band surface bright dust corr [ABmag/arcsec^2] (SINGG)
# 17 RER: R-band half-light radius [arcsec] (SINGG)
# 18 RMAXR: Maximum radius for R-band and H-alpha [arcsec] (SINGG)
# 19 FLXNUV: NUV flux full aperture [erg/cm^2/sec/A] (SUNGG)
# 20 SENUV: NUV eff surf bright [ABmag/arcsec^2] (SUNGG)
# 21 RENUV: NUV half-light radius [arcsec] (SUNGG)
# 22 RMAXNUV: UV full flux aperture radius [arcsec] (SUNGG)
J0210-40|ESO 298- G 015|0|1.00641|G|SB(rs)d|24|24|-1|0|32.662083|-40.917806|8.91628|1415.10|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000
J0212-22|NGC 0858|1|0.0119039|G|SB(rs)c?|25|25|-1|3|33.125710|-22.471531|10.6778|12324.3|0.00000|0.00000|0.00000|0.00000|1.06000e-14|23.1077|19.9310|112.200
J0215-51|ESO 197- G 033|0|0.689045|G|S...|4|4|-1|-1|33.740833|-51.433750|8.42397|1287.20|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000
J0216-11b|MCG -02-06-047|1|3.11788|G|Sc|9|9|-1|3|34.083801|-10.998780|10.0056|5914.60|0.00000|0.00000|0.00000|0.00000|6.75200e-15|25.4700|44.9000|90.0000
J0216-11c|NGC 0873|0|1.65493|G|Sc pec:        HII|49|49|1|3|34.134457|-11.348829|9.96422|4012.80|12.0966|19.4612|16.7430|92.0085|2.15200e-14|22.5900|34.9000|72.6000
J0217-76:S1|ESO 030- G 014|0|2.14152|G|SA(s)c|16|16|1|-1|34.482632|-76.081764|10.4863|8271.80|12.8964|20.0245|16.7387|110.083|0.00000|0.00000|0.00000|0.00000
J0217-76:S2|2MASX J02163997-7602512|1|0.882825|G||1|1|1|-1|34.165588|-76.047470|10.4863|8271.80|14.0265|20.4548|10.9317|74.2421|0.00000|0.00000|0.00000|0.00000
J0217-76:S3|MRSS 030-079682|0|0.449837|G||0|0|1|3|34.432640|-76.179764|10.4863|8271.80|16.9601|21.9699|4.86076|34.9826|3.18000e-16|25.2100|12.1000|26.4000
J0221-05:S1|NGC 0895|0|0.891711|G|SA(s)cd|106|106|1|3|35.401791|-5.5212059|10.0548|2292.00|11.5226|21.0247|42.1740|151.478|5.43400e-14|23.5969|54.8480|186.000
J0221-05:S2|NGC 0895a|3|1.56933|G|E (off-center nuclei|7|10|1|3|35.437813|-5.5352221|10.0548|2292.00|16.3272|21.5985|4.98242|29.2161|9.84500e-16|22.8226|4.36700|19.8000
J0221-20:S1|NGC 0899|0|0.0122943|G|IB(s)m         HII|37|37|-1|3|35.471420|-20.823250|9.81051|1565.00|0.00000|0.00000|0.00000|0.00000|4.53100e-14|20.3262|9.24177|92.4000
J0221-20:S2|IC 0223|2|0.0137455|G|IB(s)m pec?|21|21|-1|3|35.504581|-20.745920|9.81051|1565.00|0.00000|0.00000|0.00000|0.00000|2.26300e-14|20.2874|6.42898|118.800
J0223-04|6dF J0223507-043704|3|1.41132|G|IAB(s)m V|11|15|1|3|35.960823|-4.6178346|9.49376|2273.60|14.8595|22.3691|14.4814|75.0073|5.38700e-15|26.4400|49.9000|102.000
J0223-20|NGC 0907|1|0.0217335|G|SBdm? sp       HII|47|53|-1|3|35.757961|-20.712061|9.36129|1654.70|0.00000|0.00000|0.00000|0.00000|1.69900e-14|23.0354|27.4640|151.800
J0223-21|NGC 0908|1|0.00971953|G|SA(s)c         HII|162|167|-1|3|35.769039|-21.233860|9.62570|1507.50|0.00000|0.00000|0.00000|0.00000|1.24400e-13|23.2519|92.1130|310.200
J0224-24:S1|NGC 0922|2|14.3754|G|SB(s)cd pec    HII|93|101|1|3|36.266903|-24.791916|10.0716|3082.60|11.9425|20.5698|28.4265|111.534|8.71900e-14|21.7828|25.3100|168.000
J0224-24:S2|2MASX J02243002-2444441|0|0.423798|G||8|8|1|3|36.125042|-24.745493|10.0716|3082.60|15.1212|20.1510|4.63081|32.0045|3.52600e-15|22.0178|6.08703|66.0000
J0225-25|ESO 479- G 001|0|2.54447|G|SB(s)cd:|26|26|-1|0|36.367500|-25.638389|10.2500|4847.40|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000
J0226-24|UGCA 032|1|10.4029|G|SB(s)dm|38|42|-1|3|36.593498|-24.288561|9.32810|1510.70|0.00000|0.00000|0.00000|0.00000|-5.80900e-13|-NaN|40.3360|184.800
J0230-02:S1|NGC 0958|1|0.660256|G|SB(rs)c:;LIRG  HII|105|114|1|3|37.678280|-2.9389567|10.5819|5739.00|11.7410|20.1780|30.5322|154.855|1.27000e-14|23.7490|41.3330|158.400
J0230-02:S2|APMUKS(BJ) B022800.56-030620.2|0|1.64420|G||1|1|1|3|37.634182|-2.8846476|10.5819|5739.00|15.2549|22.5080|13.6609|44.4016|2.22800e-15|24.3683|13.1280|59.4000
J0230-02:S3|2MASXi J0230477-025430|0|0.302385|G||1|1|1|3|37.698833|-2.9086118|10.5819|5739.00|16.3303|21.1586|4.29427|20.5189|2.79900e-16|24.9500|12.1000|26.4000
J0232-39|NGC 0986A|3|5.79115|G|SB(s)dm|27|30|-1|1|38.174583|-39.295528|8.91839|1435.50|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000
J0233-39|NGC 0986|0|3.02032|G|(R'_1)SB(rs)b  HII|151|151|-99|-1|38.392083|-39.044833|9.25892|1974.10|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000|0.00000
J0234-10:S1|MCG -02-07-033|2|0.463449|G|SBbc?          HII|44|47|1|3|38.602211|-10.843625|10.2867|4762.30|12.8207|20.5807|19.2633|120.004|9.18700e-15|25.8000|67.5000|138.000
J0234-10:S2|6dF J0234060-105132|0|0.164889|G||0|0|1|3|38.525463|-10.858732|10.2867|4762.30|16.5179|22.2355|6.29958|26.4968|5.16800e-16|26.5900|17.2000|39.6000
